date,open,high,low,close,volume
2020-10-05 09:30:00,40.4113076062,40.4113076062,40.3366341849,40.3366341849,603
2020-10-05 09:45:00,40.3204008325,40.4567609931,40.1353406145,40.4567609931,92415
2020-10-05 10:00:00,40.4242942882,40.4600076636,40.1158605915,40.1678073194,45957
2020-10-05 10:15:00,40.2230007177,40.2765707809,40.112613921,40.1613139784,55905
2020-10-05 10:30:00,40.112613921,40.132093944,39.8788536457,39.8821003162,56919
2020-10-05 10:45:00,39.9080736801,40.0963805686,39.8366469293,40.0606671932,69183
2020-10-05 11:00:00,40.0314471588,40.1548206374,39.9924871129,40.1012505743,33030
2020-10-05 11:15:00,40.0769005456,40.0898872276,39.9989804538,40.0363171645,73236
2020-10-05 11:30:00,40.0346938292,40.1678073194,40.0346938292,40.0411871702,54099
2020-10-05 11:45:00,40.0087204653,40.0493038465,39.9795004309,39.9843704366,29541
2020-10-05 12:00:00,39.9665137489,39.9989804538,39.8674902989,39.9096970153,49482
2020-10-05 12:15:00,39.9080736801,39.9486570612,39.8723603047,39.9113203506,44775
2020-10-05 12:30:00,39.9324237088,39.9892404424,39.9324237088,39.9762537604,64200
2020-10-05 12:45:00,39.9859937719,40.0704072047,39.9762537604,40.0541738522,25566
2020-10-05 13:00:00,40.0736538751,40.2424807407,40.0698877374,40.2424807407,34152
2020-10-05 13:15:00,40.2359873997,40.2846874571,40.2165073768,40.2781941161,29571
2020-10-05 13:30:00,40.2522207522,40.2717007751,40.1775473309,40.1856640071,27498
2020-10-05 13:45:00,40.1737162597,40.1937806833,40.1340419463,40.1613139784,42840
2020-10-05 14:00:00,40.1580673079,40.1580673079,40.0444338407,40.1158605915,42498
2020-10-05 14:15:00,40.1077439153,40.2197540473,40.0996272391,40.2132607063,34335
2020-10-05 14:30:00,40.2132607063,40.310660821,40.2002740243,40.2846874571,57216
2020-10-05 14:45:00,40.297674139,40.4275409587,40.297674139,40.3983209243,60732
2020-10-05 15:00:00,40.4178009472,40.4827343571,40.3820875718,40.4827343571,44568
2020-10-05 15:15:00,40.5168243972,40.5411744259,40.4421509759,40.508707721,58257
2020-10-05 15:30:00,40.5476677669,40.5606544488,40.489227698,40.5200710677,103476
2020-10-05 15:45:00,40.5411744259,40.5606544488,40.4470209817,40.4762410161,105267
2020-10-05 16:00:00,40.4924743685,40.5801344718,40.4665010046,40.5444210964,330165
2020-10-05 16:15:00,40.5411744259,40.5411744259,40.5411744259,40.5411744259,11247
2020-10-06 09:45:00,40.5801344718,40.5801344718,40.3009208095,40.4697476751,308514
2020-10-06 10:00:00,40.50221438,40.508707721,40.4210476177,40.508707721,48627
2020-10-06 10:15:00,40.5574077784,40.8301280996,40.5574077784,40.8301280996,44427
2020-10-06 10:30:00,40.8398681111,40.8398681111,40.6450678816,40.6596778988,110937
2020-10-06 10:45:00,40.6677945751,40.7749347013,40.6223411882,40.6645479046,39447
2020-10-06 11:00:00,40.687274598,40.7554546783,40.674287916,40.706754621,66591
2020-10-06 11:15:00,40.7148712972,40.7148712972,40.607731171,40.607731171,52857
2020-10-06 11:30:00,40.607731171,40.6320811997,40.5418562267,40.5622777841,31734
2020-10-06 11:45:00,40.5476677669,40.6061078357,40.5395510907,40.588251148,24984
2020-10-06 12:00:00,40.5768878013,40.6255878587,40.508707721,40.5671477898,26673
2020-10-06 12:15:00,40.5736411308,40.7197413029,40.5509144374,40.6888979333,56019
2020-10-06 12:30:00,40.6888979333,40.693767939,40.5671477898,40.6791579218,33711
2020-10-06 12:45:00,40.6791579218,40.7035079505,40.6272111939,40.687274598,53067
2020-10-06 13:00:00,40.70026128,40.7132479619,40.6596778988,40.6645479046,57483
2020-10-06 13:15:00,40.6645479046,40.7132479619,40.6288345292,40.680781257,56082
2020-10-06 13:30:00,40.6580545636,40.7651946898,40.6580545636,40.7327279849,57894
2020-10-06 13:45:00,40.7229879734,40.7651946898,40.6840279275,40.6905212685,64341
2020-10-06 14:00:00,40.6905212685,40.6970146095,40.6061078357,40.607731171,43365
2020-10-06 14:15:00,40.614224512,40.7100012915,40.6028611652,40.70026128,44994
2020-10-06 14:30:00,40.7132479619,40.7132479619,40.6629245693,40.680781257,57522
2020-10-06 14:45:00,40.680781257,40.7294813144,40.6677945751,40.6970146095,64383
2020-10-06 15:00:00,40.7100012915,40.7132479619,40.1028739096,40.1515739669,92295
2020-10-06 15:15:00,40.112613921,40.2603374284,40.0055062615,40.2197540473,93576
2020-10-06 15:30:00,40.1905340128,40.2262473882,39.9859937719,40.119107262,87066
