date,open,high,low,close,volume,TP,std,MA-TP,sum,-DM,+DM,+DI14,-DI14,ADX14,RSI
2020-10-05 09:30:00,40.4113076062,40.4113076062,40.3366341849,40.3366341849,603,40.36152532533333,,,40.3366341849,0.0,0.0,,,34.56787270197089,
2020-10-05 09:45:00,40.3204008325,40.4567609931,40.1353406145,40.4567609931,92415,40.349620866900004,,,80.793395178,0.20129357039999718,0.0,,,34.56787270197089,
2020-10-05 10:00:00,40.4242942882,40.4600076636,40.1158605915,40.1678073194,45957,40.24789185816667,,,120.9612024974,0.019480022999999846,0.0,,,34.56787270197089,
2020-10-05 10:15:00,40.2230007177,40.2765707809,40.112613921,40.1613139784,55905,40.1834995601,,,161.1225164758,0.0032466705000047114,0.0,,,34.56787270197089,
2020-10-05 10:30:00,40.112613921,40.132093944,39.8788536457,39.8821003162,56919,39.96434930196667,,,201.004616792,0.23376027529999988,0.0,,,34.56787270197089,
2020-10-05 10:45:00,39.9080736801,40.0963805686,39.8366469293,40.0606671932,69183,39.997898230366665,,,241.0652839852,0.042206716399995514,0.0,,,34.56787270197089,
2020-10-05 11:00:00,40.0314471588,40.1548206374,39.9924871129,40.1012505743,33030,40.082852774866666,,,281.1665345595,0.0,0.058440068800003075,,,34.56787270197089,
2020-10-05 11:15:00,40.0769005456,40.0898872276,39.9989804538,40.0363171645,73236,40.04172828196667,,,321.202851724,0.0,0.0,,,34.56787270197089,
2020-10-05 11:30:00,40.0346938292,40.1678073194,40.0346938292,40.0411871702,54099,40.0812294396,,,361.2440388942,0.0,0.07792009179999582,,,34.56787270197089,
2020-10-05 11:45:00,40.0087204653,40.0493038465,39.9795004309,39.9843704366,29541,40.004391571333336,,,401.2284093308,0.055193398299998364,0.0,,,34.56787270197089,
2020-10-05 12:00:00,39.9665137489,39.9989804538,39.8674902989,39.9096970153,49482,39.925389256,,,441.1381063461,0.11201013200000176,0.0,,,34.56787270197089,
2020-10-05 12:15:00,39.9080736801,39.9486570612,39.8723603047,39.9113203506,44775,39.910779238833335,,,481.04942669670004,0.0,0.0,,,34.56787270197089,
